Id,SalePrice
1,209042.6
2,173834.87
3,222898.0
4,141472.49
5,259356.16
6,143286.5
7,284794.94
8,198339.0
9,133709.0
10,116626.21
11,131249.0
12,335032.88
13,133862.5
14,263174.92
15,149677.0
16,124124.5
17,143940.0
18,118508.0
19,156510.0
20,140699.5
21,314716.41
22,135072.92
23,237080.57
24,133220.0
25,147137.0
26,258436.94
27,129593.5
28,297051.16
29,196588.0
30,72079.22
31,68672.83
32,148599.24
33,192045.185
34,157388.0
35,257772.5
36,309987.12
37,145156.5
38,144896.75
39,115167.93
40,94524.77
41,160330.5
42,161875.0
43,138239.5
44,127356.5
45,140256.87
46,308686.89
47,260210.04
48,249285.05
49,119986.25
50,124134.5
51,177713.0
52,114216.0
53,113783.49
54,345404.74
55,133495.75
56,173689.0
57,163413.72
58,203837.0
59,414174.55
60,126414.6
61,152488.0
62,103269.5
63,210911.59
64,153628.74
65,229999.8
66,313215.63
67,208641.24
68,227157.22
69,87021.0
70,213696.32
71,245019.0
72,131571.0
73,190207.0
74,141231.25
75,120454.75
76,90260.11
77,129835.01
78,123059.76
79,136773.2
80,108264.76
81,197600.5
82,166250.0
83,244205.23
84,132431.0
85,169153.32
86,277390.09
87,180492.6
88,167535.78
89,90135.26
90,130316.5
91,108133.45
92,116658.87
93,142808.0
94,150559.06
95,209615.05
96,179418.26
97,218718.28
98,103874.0
99,93028.8
100,134466.87
101,194775.0
102,183353.0
103,122852.56
104,196381.54
105,155097.25
106,251108.0
107,98301.45
108,113276.0
109,124805.8
110,197960.0
111,142589.0
112,179267.0
113,359237.87
114,220634.24
115,227369.11
116,173469.0
117,142802.0
118,152360.0
119,374212.68
120,170946.25
121,163677.5
122,109407.0
123,136360.5
124,164036.0
125,190682.0
126,82258.61
127,134993.6
128,93497.0
129,149792.0
130,144980.0
131,216432.52
132,244496.0
133,146635.0
134,209382.03
135,177435.0
136,175242.15
137,147359.5
138,231143.09
139,225217.5
140,224749.5
141,116569.5
142,275115.03
143,144088.33
144,208294.0
145,129859.58
146,134269.0
147,109440.5
148,226691.35
149,143533.5
150,118345.0
151,125801.0
152,355578.86
153,202216.69
154,204180.86
155,126156.5
156,91802.5
157,110638.18
158,254878.8
159,248602.08
160,322005.02
161,166110.0
162,380244.06
163,223973.1
164,107964.08
165,142332.3
166,124855.0
167,185203.0
168,301526.86
169,196102.0
170,220862.0
171,122498.0
172,200856.0
173,219541.0
174,159152.0
175,199105.3
176,215404.0
177,220293.8
178,175062.1
179,459927.97
180,103055.0
181,175845.0
182,183863.0
183,134367.5
184,205683.48
185,118574.0
186,379262.79
187,174488.12
188,139069.0
189,145707.27
190,270167.61
191,294763.79
192,170222.5
193,189700.79
194,134269.0
195,124758.0
196,147722.5
197,299581.36
198,240637.79
199,112692.0
200,264078.53
201,160826.9
202,166065.0
203,112323.0
204,148825.0
205,108671.58
206,180678.41
207,156163.45
208,142156.32
209,249135.0
210,145543.0
211,99919.0
212,192202.48
213,245425.37
214,152252.0
215,160433.5
216,135261.25
217,206504.88
218,117163.5
219,265176.32
220,165245.6
221,219648.81
222,221990.0
223,177160.5
224,107801.5
225,393122.72
226,110221.04
227,291342.67
228,100285.5
229,125698.08
230,196948.6
231,148374.24
232,374963.16
233,101952.5
234,130110.5
235,216757.35
236,93880.5
237,187205.82
238,192917.22
239,304268.5
240,131320.5
241,263560.72
242,104181.3
243,96619.0
244,118868.0
245,220917.9
246,254036.22
247,138069.62
248,140979.5
249,186113.65
250,249984.9
251,98512.01
252,257791.37
253,179013.0
254,161310.0
255,143657.5
256,235084.77
257,204158.75
258,238765.35
259,218941.0
260,108592.0
261,169643.0
262,314604.92
263,146813.74
264,119522.0
265,79310.8
266,171441.0
267,180998.8
268,169921.0
269,113548.5
270,139392.87
271,259093.0
272,209778.0
273,280148.6
274,151756.5
275,127246.83
276,169055.0
277,215391.54
278,127092.5
279,411637.91
280,189878.0
281,218010.0
282,187095.53
283,217495.58
284,244682.38
285,194371.0
286,165998.26
287,156066.32
288,98047.66
289,126454.0
290,147571.29
291,240898.5
292,128865.0
293,135218.0
294,226402.32
295,161508.5
296,135730.0
297,149913.5
298,232957.5
299,172615.5
300,160956.5
301,163335.0
302,279385.07
303,224475.16
304,139426.5
305,324628.0
306,309962.07
